ModA	ModB	RH	WS
226.1	217.8	82.3	2.8
234.2	225.8	82.3	2.2
241.3	232.7	82.7	2.7
245.6	237	82.4	3.4
247.4	238.8	81.6	3.1
248.9	240.3	82.2	3.3
252.4	243.9	81.9	2.6
257.2	248.8	82.8	1.9
262.3	254	82.2	2.2
266.1	257.9	82.6	1.4
268.5	260.3	82.7	2.5
269.9	261.5	82.1	2.5
271.1	262.5	81.7	2.4
272.2	263.4	81.2	2.2
272	263.1	82.1	1.9
270.1	261	82.4	2.1
267.3	258.1	82.6	1.4
266.1	256.8	83	1.7
267.9	258.3	81.9	2
274.6	264.7	82.3	1.7
287.7	277.4	82.2	0.8
296.1	285.6	81.9	1.4
300	289.5	82	1.2
298.9	288.3	81.8	1.8
297.5	286.9	81.2	2.3
296.6	286	82.6	1.8
298.3	287.7	82.3	1.8
299.2	288.6	80.3	1.8
304.6	293.8	80.5	1.9
327.9	316.7	81.3	1.9
386.9	374.8	80.1	1.4
489.1	475.4	81.2	1.5
604.5	589.2	79.6	1.5
655.9	640.1	79.8	1.5
710.8	694.2	79.6	1.5
767.5	749.9	77.7	1.6
822	803	77.3	2
824	805	78.3	2.1
819	800	78.9	1.8
806	787.6	79	2.1
796	777.9	78.8	1.7
784.6	766.7	79.8	1.2
767.1	749.8	76.6	2.3
734.9	718.1	77.3	1.8
697.4	681.2	75.6	0.8
648.3	632.9	76.2	1.1
608.3	593.6	76.8	2.1
558.5	544.3	76.3	1.7
519.1	505.4	77.8	2
473.3	460.2	76.6	2.1
439.3	426.9	77.1	1.7
393.4	381.8	76.1	0.2
301.3	290.5	75.7	0.3
286.1	275.6	76.9	1.6
300.3	289.8	77	2.3
353.9	342.8	77.5	2.2
414	402.5	77	1.7
413.5	402	78.5	0.8
414.4	403.1	77.8	1.4
418.1	406.8	77	0.6
423.1	411.6	78.4	1.6
423.7	412.2	79	1.6
423.8	412.2	78.4	1.9
428.6	417.1	79.6	2.4
426.8	415.3	78.6	2.4
419.1	407.9	79.3	2.6
408.2	397.2	79.1	2.1
404.6	393.7	79.6	2.8
401.2	390.4	78.2	2.3
396.4	385.8	77.9	2.2
392.9	382.4	79.1	1.8
390.1	379.6	78.8	1.7
381.7	371.1	79.7	2.1
386.4	375.9	79.5	1.6
399.4	388.7	78.3	1.7
407.6	396.8	79.4	2.4
422.6	411.6	78.2	1.9
401.1	390.6	78.5	2.8
358.5	348.5	77.8	2.5
308.5	299	78.4	2.2
343	333.5	77.9	1.6
362.1	352	78.9	1.2
412.9	401.8	78.2	2
479.4	467.3	78.4	1.9
344.9	334.6	78.4	2.5
334.8	324.5	78.2	2.5
338.3	328.2	78.7	2.4
404.2	393.2	78.9	1.8
443.9	432.5	78.1	2.5
515.7	503.3	78.1	2.1
537.3	524.9	77.7	2.4
527.9	515.5	78.6	2.2
505.5	493.3	78.3	2.4
451.3	439.8	79	2.4
380.6	369.3	77.9	2.8
401.5	390.1	76.7	2.2
316.6	305.8	77.8	2.5
306.3	295.7	78.1	2.1
301.3	290.8	76.5	2.4
297	286.7	76.8	2.2
304.2	293.8	77.9	1.7
380.9	369.3	78.2	1.9
378	366.7	77.7	1.7
283.2	273.4	77.5	2.3
252.9	243.1	77.6	2.2
246.5	236.7	77.5	2.8
244.9	235.2	77.7	2.5
245.4	235.8	78.5	1.8
249.1	239.3	79.2	2.1
252.2	242.4	78.7	2.5
252.9	243.3	79.1	2.5
252.3	242.8	79.3	2
249.3	240.1	79.3	2.2
245.9	237	80.3	2.3
239.6	231	80.3	1.8
229.1	221.1	80.9	2.3
219.7	212	81.2	1.7
210.9	203.2	79.2	2.2
207.1	199.4	79.1	2.6
203.6	196	79.4	3.1
199.1	191.8	78.9	3.5
192.1	185	79.2	3.5
184.9	178	78.7	2.8
179.6	172.8	79.5	1.8
174.8	168.2	79.9	1.6
169.6	163.2	80	2.1
165.3	158.8	79.4	2.3
160.6	154.4	79.3	2
158.6	152.6	79.8	1.7
159.7	153.7	80.8	1.4
162.3	156.4	80.7	1.9
166.1	160.1	80.5	2.3
169.7	163.5	80.1	1.7
171.4	165.1	80.1	1.6
168.3	162.1	81.4	1.5
163.8	157.7	81.1	1.4
161	155	80.4	1.8
159.7	153.6	81.3	1.6
157.2	151.2	81.3	2.2
150.9	145.4	81.4	1.8
143.3	137.9	81.2	1.6
141.7	136.2	81.4	2.1
140.7	135.2	81.4	2
137.3	131.7	82.4	1.8
133.9	128.3	82.5	1.8
132.1	126.5	81.8	2.2
130.5	125.1	81.9	2.7
125.5	120.3	82.4	2.3
124.4	119.3	82.4	3
128.7	123.6	82.8	2.1
137.2	131.9	83.3	1.8
143.1	137.6	83.8	1.7
145.8	140.1	83.4	2
146.9	140.9	83.5	2
145	139.1	82.6	3.2
137.5	131.9	82.2	2.8
128.3	123.3	83	3
122.8	118.1	83.8	2.2
120.4	115.8	83.5	1.9
117.6	113.1	83.6	1.2
112.8	108.4	84	2.6
107.3	102.8	84	2.5
102.5	98.1	84	2
98	93.9	84.1	2.4
92.3	88.5	83.6	2.7
88.7	85.2	83.9	2.1
